,,,,,,,SPEED DATA,,<- HRPDC TRAVEL TIME COLLECTION DATA ->,,,,INRIX DATA ->,,,,TRAVEL TIME RELIABILITY DATA,,,
JURIS NAME,MPA?,ROUTE #,FACILITY NAME,SEGMENT FROM,SEGMENT TO,DIR,1995 AM SPEED,1995 PM SPEED,2000 AM SPEED,2000 PM SPEED,2005 AM SPEED,2005 PM SPEED,2012 SLOWEST AM  SPEED,2012 HIGHEST AM  TTI,2012 SLOWEST PM  SPEED,2012 HIGHEST PM  TTI,2012 HIGHEST AM BUF INDEX,2012 HIGHEST AM PTI,2012 HIGHEST PM BUF INDEX,2012 HIGHEST PM PTI
NN,Y,0064,I-64,JEFFERSON AVE,OYSTER POINT RD,EB,55.0,52.8,55.0,55.0,59.9,60.8,66,0.98,65,0.98,0.10,1.08,0.30,1.26
NN,Y,,,,,WB,55.0,55.0,14.8,55.0,58.1,60.2,65,0.97,61,1.06,0.32,1.28,1.09,2.20
NN,Y,0064,I-64,OYSTER POINT RD,J C MORRIS BLVD,EB,55.0,55.0,55.0,55.0,59.7,61.6,65,0.98,65,0.98,0.09,1.07,0.32,1.30
NN,Y,,,,,WB,53.2,55.0,55.0,55.0,57.5,60.0,65,0.98,65,0.98,0.05,1.02,0.23,1.22
NN,Y,0064,I-64,J C MORRIS BLVD,HAMPTON CL,EB,55.0,55.0,55.0,55.0,62.0,60.6,65,0.99,65,0.99,0.29,1.28,0.23,1.20
NN,Y,,,,,WB,24.9,19.2,55.0,52.2,60.2,55.3,64,0.98,62,1.01,0.21,1.19,0.39,1.41
NN,Y,0664,I-664/MMMBT,SUFFOLK CL,TERMINAL AVE,EB,55.0,55.0,54.2,54.3,56.0,39.9,61,0.98,62,0.97,0.16,1.14,0.11,1.08
NN,Y,,,,,WB,55.0,55.0,54.2,54.2,56.5,57.0,63,0.98,57,1.07,0.10,1.06,0.35,1.38
NN,Y,0664,I-664,TERMINAL AVE,23RD ST,EB,55.0,55.0,54.2,54.3,56.0,39.9,63,0.99,63,0.99,0.06,1.06,0.12,1.12
NN,Y,,,,,WB,55.0,55.0,54.2,54.2,56.5,57.0,59,1.01,23,2.76,0.31,1.31,2.20,5.80
NN,Y,0664,I-664,23RD ST,CHESTNUT AVE,EB,55.0,55.0,55.0,55.0,56.9,31.4,64,0.98,63,0.98,0.08,1.06,0.16,1.14
NN,Y,,,,,WB,55.0,55.0,55.0,55.0,56.0,58.2,62,0.99,47,1.44,0.20,1.19,3.08,5.32
NN,Y,0664,I-664,CHESTNUT AVE,HAMPTON CL,EB,55.0,55.0,55.0,55.0,56.3,54.8,63,0.98,63,0.98,0.11,1.10,0.29,1.29
NN,Y,,,,,WB,55.0,55.0,55.0,55.0,56.2,58.2,62,0.98,63,0.98,0.41,1.39,0.38,1.36
NOR,Y,0064,I-64/HRBT,HAMPTON CL,OCEAN VIEW AVE,EB,55.0,55.0,52.5,53.8,38.8,45.8,51,1.14,48,1.20,0.34,1.49,0.51,1.66
NOR,Y,,,,,WB,55.0,55.0,52.3,53.9,47.3,34.7,57,1.03,46,1.38,0.24,1.27,0.59,2.00
NOR,Y,0064,I-64,OCEAN VIEW AVE,4TH VIEW AVE,EB,55.0,55.0,55.0,55.0,57.8,53.1,62,0.97,58,1.05,0.16,1.11,0.85,1.97
NOR,Y,,,,,WB,55.0,55.0,55.0,55.0,57.3,28.0,58,1.04,30,2.14,0.86,1.89,1.62,3.94
NOR,Y,0064,I-64,4TH VIEW AVE,BAY AVE,EB,55.0,55.0,55.0,55.0,56.3,25.8,62,0.98,50,1.26,0.12,1.09,1.95,3.42
NOR,Y,,,,,WB,55.0,55.0,55.0,55.0,57.0,28.3,61,1.02,23,3.12,1.28,2.29,3.28,7.69
NOR,Y,0064,I-64,BAY AVE,GRANBY ST,EB,55.0,55.0,55.0,55.0,54.9,35.8,62,0.98,52,1.17,0.11,1.07,0.76,2.06
NOR,Y,,,,,WB,55.0,55.0,55.0,55.0,56.2,54.2,62,0.99,36,2.01,0.82,1.80,3.21,6.96
NOR,Y,0064,I-64,GRANBY ST,I-564/LITTLE CREEK RD,EB,55.0,55.0,55.0,55.0,54.9,35.8,62,0.98,52,1.17,0.11,1.07,0.76,2.06
NOR,Y,,,,,WB,55.0,55.0,55.0,55.0,54.8,57.3,62,0.99,36,2.01,0.82,1.80,3.21,6.96
NOR,Y,0064,I-64 REV,I-564/LITTLE CREEK RD,TIDEWATER DR,R,55.0,55.0,65.0,65.0,65.0,65.0,64,1.01,61,1.05,0.33,1.33,0.26,1.33
NOR,Y,0064,I-64,I-564/LITTLE CREEK RD,TIDEWATER DR,EB,55.0,55.0,55.0,15.1,58.3,16.4,63,0.99,42,1.53,0.22,1.20,1.98,4.71
NOR,Y,,I-64,I-564/LITTLE CREEK RD,TIDEWATER DR,WB,55.0,55.0,55.0,55.0,56.4,56.1,61,1.01,53,1.24,0.67,1.68,3.61,5.39
NOR,Y,0064,I-64 REV,TIDEWATER DR,CHESAPEAKE BLVD,R,55.0,55.0,65.0,65.0,65.0,65.0,65,0.99,60,1.08,0.25,1.24,0.71,1.80
NOR,Y,0064,I-64,TIDEWATER DR,CHESAPEAKE BLVD,EB,55.0,55.0,53.8,20.4,56.6,28.3,61,1.01,36,1.72,0.78,1.82,1.27,3.88
NOR,Y,,I-64,TIDEWATER DR,CHESAPEAKE BLVD,WB,55.0,55.0,55.0,55.0,57.2,56.5,58,1.08,62,0.99,1.12,2.41,0.53,1.50
NOR,Y,0064,I-64 REV,CHESAPEAKE BLVD,NORVIEW AVE,R,55.0,55.0,65.0,65.0,65.0,65.0,65,1.00,60,1.08,0.44,1.45,1.07,2.18
NOR,Y,0064,I-64,CHESAPEAKE BLVD,NORVIEW AVE,EB,55.0,55.0,53.7,18.3,57.9,19.7,59,1.04,36,1.75,0.88,1.91,1.12,3.26
NOR,Y,,I-64,CHESAPEAKE BLVD,NORVIEW AVE,WB,55.0,55.0,55.0,55.0,57.2,55.8,59,1.04,62,0.98,1.15,2.31,0.25,1.23
NOR,Y,0064,I-64 REV,NORVIEW AVE,MILITARY HWY,R,55.0,55.0,65.0,65.0,65.0,65.0,66,0.98,62,1.05,0.14,1.11,0.81,1.89
NOR,Y,0064,I-64,NORVIEW AVE,MILITARY HWY,EB,55.0,55.0,55.0,37.8,55.6,26.9,60,1.02,44,1.39,0.31,1.33,0.82,2.44
NOR,Y,,I-64,NORVIEW AVE,MILITARY HWY,WB,55.0,55.0,46.9,55.0,55.3,54.4,58,1.05,62,0.99,0.87,1.97,0.15,1.14
NOR,Y,0064,I-64 REV,MILITARY HWY,NORTHAMPTON BLVD,R,55.0,55.0,65.0,65.0,65.0,65.0,66,0.98,62,1.04,0.11,1.09,0.90,1.96
NOR,Y,0064,I-64,MILITARY HWY,NORTHAMPTON BLVD,EB,55.0,55.0,55.0,55.0,55.9,49.2,61,1.00,42,1.51,0.27,1.28,1.47,3.30
NOR,Y,,I-64,MILITARY HWY,NORTHAMPTON BLVD,WB,55.0,55.0,51.4,55.0,57.7,54.7,57,1.07,62,0.99,1.05,2.18,0.16,1.15
NOR,Y,0064,I-64 REV,NORTHAMPTON BLVD,I-264,R,55.0,55.0,65.0,65.0,65.0,65.0,64,1.02,62,1.06,0.13,1.15,1.08,2.21
NOR,Y,0064,I-64,NORTHAMPTON BLVD,I-264,EB,55.0,55.0,55.0,55.0,58.3,36.2,55,1.08,41,1.46,0.50,1.62,1.16,3.06
NOR,Y,,I-64,NORTHAMPTON BLVD,I-264,WB,55.0,55.0,55.0,55.0,58.7,53.1,56,1.10,58,1.06,1.08,2.24,0.75,1.82
NOR,Y,0064,I-64,I-264,VA BEACH CL,EB,55.0,51.8,55.0,27.5,57.8,40.5,61,0.98,49,1.23,0.05,1.03,0.87,2.30
NOR,Y,,I-64,I-264,VA BEACH CL,WB,49.0,55.0,48.5,55.0,52.9,55.6,49,1.27,50,1.24,0.83,2.28,1.73,3.29
NOR,Y,0264,I-264/DOWNTOWN TUNNEL,PORTSMOUTH CL,I-464,EB,19.4,32.2,13.4,21.5,19.5,18.5,27,1.70,33,1.42,0.73,2.79,0.53,2.09
NOR,Y,,,,,WB,40.2,16.5,22.6,49.2,30.5,26.9,38,1.30,37,1.35,0.52,1.94,0.45,1.84
